name,datarefs,operators,thresholds,conditions,description
BUS_VOLTAGE,sim/cockpit/electrical/battery_array_on,~=,0,any,this led ligths up when master electric switch is on
HDG,sim/cockpit2/autopilot/heading_mode,==,101,any,description
NAV,sim/cockpit2/autopilot/nav_status,==,2,any,description
APR,sim/cockpit2/autopilot/approach_status,>=,1,any,description
REV,sim/cockpit2/autopilot/backcourse_status,>=,1,any,description
ALT,sim/cockpit2/autopilot/altitude_mode,>=3, and x<=6,any,description
VS,sim/cockpit2/autopilot/vvi_status,==,2,any,description
IAS,sim/cockpit2/autopilot/autothrottle_on,>=,1,any,description
AP,sim/cockpit2/autopilot/servos_on,>,0.01,any,description
AP_STATE,sim/cockpit/autopilot/autopilot_state,~=,0,any,description
GEAR,sim/flightmodel2/gear/deploy_ratio,~=,0,any,description
RETRACTABLE_GEAR,sim/aircraft/gear/acf_gear_retract,~=,0,any,description
MASTER_WARN,sim/cockpit2/annunciators/master_warning,>,0.01,any,description
FIRE,sim/cockpit2/annunciators/engine_fires,>,0.01,any,description
OIL_LOW_P,sim/flightmodel/engine/ENGN_oil_press,<,0.075,any,description
FUEL_LOW_P,sim/cockpit2/engine/indicators/fuel_pressure_psi,<,12,any,description
ANTI_ICE,aerobask/iceprot/sw_eng1;aerobask/iceprot/sw_eng2;aerobask/iceprot/sw_wshld2;aerobask/iceprot/sw_wshld1;aerobask/iceprot/sw_wingstab,==;==;==;==;==,1;1;1;1;2,any,description
ENG_STARTER,sim/cockpit2/engine/actuators/starter_hit,>,0.01,any,description
APU,sim/cockpit/electrical/gpu_on,==,1,any,description
MASTER_CAUTION,sim/cockpit/warnings/annunciators/master_caution,>,0.01,any,description
VACUUM,sim/cockpit/misc/vacuum2;sim/cockpit/misc/vacuum,<,5,any,description
HYDRO_LOW_P,sim/operation/failures/hydraulic_pressure_ratio;sim/operation/failures/hydraulic_pressure_ratio2,<,2500,any,description
AUX_FUEL_PUMP,sim/cockpit2/fuel/transfer_pump_right;sim/cockpit2/fuel/transfer_pump_left,>,0.01,any,description
PARKING_BRAKE,sim/cockpit2/controls/parking_brake_ratio,==,1,any,description
VOLT_LOW,sim/cockpit2/annunciators/low_voltage,==,1,any,description
DOORS,sim/flightmodel2/misc/custom_slider_ratio;sim/flightmodel2/misc/door_open_ratio,==,1,any,description
